ciudad,vertical,negocio,reseñas,nota,web,telefono,place_id,lead
Getafe,pilates,Gymdance,10,4.5,http://www.gymdance.es/,+34633152009,ChIJo3LalckgQg0RX_6-HDoG_zc,7
Majadahonda,dental,Clínica Odontológica Dr. Fernando Rey,10,4.5,http://www.clinicadoctoresrey.es/,+34916381245,ChIJo0L3jY2EQQ0R5E8Y52XuxZU,7
Leganés,dental,CLINICA PRIEDENT,10,4.5,https://www.clinicaspriedent.es/,+34916800140,ChIJvbocavWJQQ0RFrbIURPnG5o,7
Madrid,dental,Odontología BORDEL NIETO,10,4.3,http://www.odontologiabordelnieto.es/?page_id=61,+34913784348,ChIJi5VmQIkpQg0RiSJkRuufCZ8,7
Madrid,dental,Clínica Dental y Maxilofacial en Pozuelo y Aravaca - Dr. Riba,10,4.2,http://iomm.es/,+34913573699,ChIJqWp6MKuHQQ0RejDCWJPJQ6I,7
Móstoles,dental,Clinica Dental Milena,10,4.2,https://clinicadentalmilena.com/,+34912620460,ChIJdS0EK86NQQ0RaKWoncBNyrQ,7
Madrid,dental,Clínica Dental,10,3.8,http://www.centrodentalprevent.com/,+34695825036,ChIJa9nWepcnQg0ReWOtV_aIkro,7
Velilla de San Antonio,estetica,Centro de estetica Estar Bell@ Velilla,10,4.5,https://www.estarbellavelilla.org/,+34916705348,ChIJVZi_JWw5Qg0RBSs1o6OEKBE,7
Móstoles,peluqueria,Peluquería Unisex Judith,10,4.1,https://wa.link/lpqz0p,+34627333837,ChIJFQsmJwCNQQ0Rj7732YED6bg,7
Barcelona,fisioterapia,Francisco Javier Cerrato Gómez,10,4.1,http://www.fisioterapia-xaviercerrato.com/?pagerd_ec5mza,+34932680484,ChIJBcmntwCjpBIRqnT2jOVw5Cc,7
Barcelona,dental,CIDESID - Centro Internacional de Formación Dental,10,4.2,https://cidesid.es/,+34722595731,ChIJ___vYI6apBIRWwTiVCMhh7k,7
Barcelona,dental,Clínica Dental Pasalodos,10,4.2,http://www.clinicapasalodos.com/,+34934174721,ChIJFVjiDhKYpBIRcv5rz9IywMk,7
Manises,dental,Clinica +Dental Manises (Dra. Marco),10,3.5,http://www.clinicasmasdental.com/,+34961092377,ChIJPSsBtKVaYA0RGH4WLuQJzcU,7
Seville,dental,Dentista Infantil Sevilla S L,10,3.4,https://www.instagram.com/dentistainfantilsevilla/?hl=es,+34954077737,ChIJpc8yd9VuEg0R801jVyNLSqA,7
Seville,dental,Colegio Oficial de Dentistas de Sevilla,10,3.5,http://dentistassevilla.com/,+34954988010,ChIJP6hlaiBsEg0RLOUbmqozPas,7
Seville,dental,Campus Dental,10,3.4,http://www.campusdental.es/,+34902122903,ChIJF2sRPu9sEg0R75zn60qZreI,7
Castilleja de Guzmán,dental,GUZMAN DENTAL,10,4.4,https://guzmandental.es/,+34610786486,ChIJocLzHVBrEg0RnyWDqqt08Rk,7
Palomares del Río,dental,Centro Bucodental Palomares del Río,10,4.4,http://www.centrobucodental.es/,+34955763234,ChIJY4o0JlBtEg0RPv_1ARCQNF4,7
Seville,peluqueria,Barbercom peluquería,10,4.4,http://barbercom.es/,+34671160458,ChIJIcuVUgBvEg0Rpv63R3NThko,7
Zaragoza,dental,Clínica Dental Ángel Vallés,10,3.8,https://clinicadentalavalles.es/,+34976236010,ChIJg-_c-cIUWQ0RbREnaU-CUrM,7
Zaragoza,estetica,Boclinic Dra Begoña Obensa,10,4,https://www.boclinic.es/,+34976239053,ChIJoYyba-cUWQ0R1tOi2mHEV1g,7
Zaragoza,estetica,Naranja,10,4.5,https://instagram.com/peluquerianaranja?igshid=rpmkxvdhnv5h,+34976344700,ChIJi_Gc-TJrWQ0RvnZ44lvcyAw,7
Málaga,dental,Estudio dental Cortés,10,4.5,http://www.clinicadentalcortes.com/,+34952625913,ChIJs9sM_UPwcg0R3zc7_pOjGrI,7
Málaga,dental,Colegio de Dentistas de Málaga,10,4.1,http://www.coema.org/,+34952060024,ChIJhSEIWJb3cg0RUrvQqV6Qf-s,7
Málaga,dental,Etica Dental,10,3,https://www.eticadentalmalaga.es/,+34952328123,ChIJCV_Nqtj5cg0RqL59DntKeBw,7
Sangonera la Verde,dental,Centro Dental Nuestra Señora De Los Ángeles,10,4.5,http://www.xn--centrodentalnuestraseoradelosangeles-cpd.com/,+34968866533,ChIJz9GyY9V_Yw0RWHgiZ1gUxMs,7
Santomera,dental,Clínica Dental Fisiodent,10,3.3,https://www.fisiodentazarbe.es/,+34968861899,ChIJPde6I1ibYw0R2NvIlNT8fvc,7
Murcia,dental,ortodental,10,4.1,http://www.clinicaortodental.es/,+34653975984,ChIJx1OTihWCYw0R_JRGqVfDahw,7
Murcia,dental,Clínica Dental San Leandro,10,4.2,http://clinicadentalsanleandro.com/,+34968268128,ChIJdwTmwhGCYw0RC5RDB5KBRU4,7
Murcia,peluqueria,Peluquería Directa,10,2.8,https://peluqueriadirecta.com/,+34968233884,ChIJn1gWHmmCYw0RuLQO8c8YqbM,7
Palma,dental,Dental Quetglas SLP,10,4.5,https://dentalquetglas.es/,+34971751754,ChIJQ07iH1iSlxIRWl_tNICHNKk,7
Las Palmas de Gran Canaria,pilates,Raquel Rodríguez Pilates Studio,10,4.2,https://www.raquelrodriguezpilates.com/,+34609055931,ChIJUWLpz5qVQAwRQvatPZD7am0,7
